"","Species.watershed","Watershed_name","Genus_spp","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"137","lomati_foeni.20B","20B","lomati_foeni",1.5,1,1,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"138","mimosa_quadr.20B","20B","mimosa_quadr",2,2,2,0,2,1,1,2,2,2,2.5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2
"139","mirabi_linea.20B","20B","mirabi_linea",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","muhlen_cuspi.20B","20B","muhlen_cuspi",2,2,2,2,2,2,1,2,1.5,2,2,1.5,2,2,1,2,2,1,0,0,1,1,1,1.5,1.5,2,2,2,1,1,1
"141","oenoth_bienn.20B","20B","oenoth_bienn",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","oxalis_stric.20B","20B","oxalis_stric",1,1,1,1,1.5,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
"143","oxalis_viola.20B","20B","oxalis_viola",1,2,1,2,1.5,2,1,1.5,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0
"144","packer_platt.20B","20B","packer_platt",1,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145","panicu_virga.20B","20B","panicu_virga",3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1.5,1,2,1,1.5,1.5,1,1
"146","pediom_escul.20B","20B","pediom_escul",2,1,2,2,2,1,1,2,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"147","pediom_tenui.20B","20B","pediom_tenui",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148","physal_pumil.20B","20B","physal_pumil",2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"149","poa_prate.20B","20B","poa_prate",3,3,3,4,3,3,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3.5,4,4,4
"150","prunus_ameri.20B","20B","prunus_ameri",1,2,2,3,4,1,1,1,2,1.5,2,2,2,2,1,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"151","ratibi_colum.20B","20B","ratibi_colum",1,0,1,0,1,0,1,2,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1
"152","rhus_aroma.20B","20B","rhus_aroma",3,3,3,4,4,4,2,3,3.5,1,0,0,0,0,3,0,0,0,1,1,0,2,1,2,1,2,1.5,1.5,1,1.5,2
